fileRoundAeColorful	48
fileRoundAiColorful	48
fileRoundAndroidColorful	48
fileRoundAudioColorful	48
fileRoundBitableColorful	48
fileRoundCodeColorful	48
fileRoundCsvColorful	48
fileRoundDocColorful	48
fileRoundDocxColorful	48
fileRoundExcelColorful	48
fileRoundImageColorful	48
fileRoundIosColorful	48
fileRoundKeynoteColorful	48
fileRoundMindnoteColorful	48
fileRoundNopermissionColorful	48
fileRoundNumbersColorful	48
fileRoundPagesColorful	48
fileRoundPdfColorful	48
fileRoundPptColorful	48
fileRoundPsColorful	48
fileRoundSheetColorful	48
fileRoundSketchColorful	48
fileRoundSlideColorful	48
fileRoundTextColorful	48
fileRoundUnknowColorful	48
fileRoundVideoColorful	48
fileRoundWordColorful	48
fileRoundZipColorful	48
fileBitableColorful	48
fileCodeColorful	48
fileCsvColorful	48
fileDocColorful	48
fileDocxColorful	48
fileFolderColorful	48
fileIosColorful	48
fileMindnoteColorful	48
fileNopermissionColorful	48
fileNumbersColorful	48
filePagesColorful	48
fileSharefolderColorful	48
fileSheetColorful	48
fileSlideColorful	48
videoOffOutlined	144
playRoundFilled	40
wikiBitableCircleColorful	48
wikiUnknowCircleColorful	48
wikiDocCircleColorful	48
wikiDocxCircleColorful	48
wikiMindnoteCircleColorful	48
wikiSheetCircleColorful	48
wikiSlideCircleColorful	48
wikiExcelCircleColorful	48
wikiImageCircleColorful	48
wikiPdfCircleColorful	48
wikiPptCircleColorful	48
wikiTextCircleColorful	48
wikiVideoCircleColorful	48
wikiWordCircleColorful	48
wikiExcelCircleColorful	48
ratingSmileColorful	48
ratingHotColorful	48
ratingFlowerColorful	48
ratingSpeedColorful	48
ratingThumbsupColorful	48
ratingLikeColorful	48
ratingStarColorful	48
rating0Colorful	48
rating1Colorful	48
rating2Colorful	48
rating3Colorful	48
rating4Colorful	48
rating5Colorful	48
rating6Colorful	48
rating7Colorful	48
rating8Colorful	48
rating9Colorful	48
rating10Colorful	48
addOutlined	40
fileAeColorful	70
fileAiColorful	70
fileAndroidColorful	70
fileAudioColorful	70
fileExcelColorful	70
fileImageColorful	70
filePdfColorful	70
filePptColorful	70
filePsColorful	70
fileSketchColorful	70
fileTextColorful	70
fileVideoColorful	70
fileWordColorful	70
fileZipColorful	70
fileKeynoteColorful	70
fileEmlColorful	70
fileUnknowColorful	70
fileFolderWikiColorful	48
emailOffice365Colorful	70
emailOutlookColorful	70
emailExchangeColorful	70
emailGmailColorful	70
emailTencentmailColorful	70
emailNeteasemailColorful	70
emailAlibabamailColorful	70
emailZohoColorful	70
emailCoremailColorful	70
emailOthermailColorful	70
tabMoreBaseColorful	240
groupFilled	60
